,,,◯月,,,,,,,,,
予算設定大項目,予算設定中項目,予算設定入力項目,予算,売上比,2024,売上比,予算比,前年比,2023,売上比,2022,売上比
売上高,,店舗売上高,,,,,,,,,,
,,ドリンク売上,,,,,,,,,,
,,その他売上高,,,,,,,,,,
,,売上高合計（税抜）,,,,,,,,,,
変動費,売上原価,食材期首棚,,,,,,,,,,
,,食材仕入高,,,,,,,,,,
,,食材期末棚,,,,,,,,,,
,,食材原価,,,,,,,,,,
,,ﾄﾞﾘﾝｸ期首棚,,,,,,,,,,
,,ドリンク仕入高,,,,,,,,,,
,,ﾄﾞﾘﾝｸ期末棚,,,,,,,,,,
,,ドリンク原価,,,,,,,,,,
,,内部振替,,,,,,,,,,
,,原価合計,,,,,,,,,,
,,売上総利益,,,,,,,,,,
,人件費,給料手当,,,,,,,,,,
,,店長料理長昇給,,,,,,,,,,
,,社員給与,,,,,,,,,,
,,雑給,,,,,,,,,,
,,ヘルプ人件費,,,,,,,,,,
,,法定福利費,,,,,,,,,,
,,通勤交通費,,,,,,,,,,
,,賞与引当金繰入,,,,,,,,,,
,,社宅家賃,,,,,,,,,,
,,休業手当,,,,,,,,,,
,,人件費合計,,,,,,,,,,
,その他変動費,販売促進費,,,,,,,,,,
,,メニューコピー,,,,,,,,,,
,,調査費,,,,,,,,,,
,,衛生費,,,,,,,,,,
,,サービス費,,,,,,,,,,
,,電気代,,,,,,,,,,
,,ガス代,,,,,,,,,,
,,水道代,,,,,,,,,,
,,消耗品費,,,,,,,,,,
,,保守修繕費,,,,,,,,,,
,,租税公課,,,,,,,,,,
,,接待交際費,,,,,,,,,,
,,旅費交通費,,,,,,,,,,
,,通信費,,,,,,,,,,
,,ｸﾚｼﾞｯﾄ手数料,,,,,,,,,,
,,支払手数料,,,,,,,,,,
,,会議費,,,,,,,,,,
,,諸会費,,,,,,,,,,
,,図書教育費,,,,,,,,,,
,,研修費,,,,,,,,,,
,,業態研究費,,,,,,,,,,
,,採用費,,,,,,,,,,
,,IT費,,,,,,,,,,
,,外注費,,,,,,,,,,
,,雑費,,,,,,,,,,
,,その他変動費合計,,,,,,,,,,
,,変動費合計,,,,,,,,,,
,,限界利益,,,,,,,,,,
,,減価償却費,,,,,,,,,,
,,家賃,,,,,,,,,,
,,警備料,,,,,,,,,,
,,リース料,,,,,,,,,,
,,賃借料,,,,,,,,,,
,,固定費合計,,,,,,,,,,
,,店舗営業利益,,,,,,,,,,
,,販売管理費合計,,,,,,,,,,
,,営業利益,,,,,,,,,,
